age,annual_income,loan_amount,loan_term_months,credit_score,debt_to_income,employment_type,payment_history,home_ownership,loan_purpose,default
21,35000,120000,36,650,0.42,Salaried,Average,Rent,Personal,1
35,75000,180000,24,720,0.22,Salaried,Good,Own,Car,0
48,42000,350000,60,580,0.61,Self-employed,Poor,Rent,Personal,1
29,90000,150000,24,760,0.18,Salaried,Good,Mortgage,Education,0
52,50000,400000,60,540,0.68,Business,Poor,Rent,Medical,1
41,68000,210000,36,690,0.31,Salaried,Average,Mortgage,Home,0
26,32000,200000,48,610,0.48,Salaried,Poor,Rent,Education,1
45,110000,250000,24,780,0.19,Business,Good,Own,Home,0
33,58000,300000,60,625,0.45,Self-employed,Average,Rent,Car,1
39,82000,160000,36,735,0.24,Salaried,Good,Mortgage,Car,0
30,45000,220000,48,600,0.51,Salaried,Average,Rent,Personal,1
57,70000,180000,36,710,0.27,Business,Good,Own,Medical,0
24,28000,150000,60,570,0.64,Salaried,Poor,Rent,Education,1
36,95000,280000,36,745,0.23,Salaried,Good,Mortgage,Home,0
50,39000,300000,48,590,0.58,Self-employed,Poor,Rent,Personal,1
43,62000,175000,24,700,0.29,Salaried,Average,Mortgage,Car,0
31,54000,240000,60,630,0.44,Self-employed,Average,Rent,Home,1
46,105000,200000,36,770,0.21,Business,Good,Own,Home,0
28,36000,190000,48,605,0.49,Salaried,Poor,Rent,Medical,1
55,88000,260000,36,725,0.26,Business,Good,Own,Car,0
